SEQUENCE_GENBANK_STRAIN,SEQUENCE_GENBANK_ACCESSION
USA/WA-CDC-UW21090379953/2021,OK264908.1
USA/WA-UW-22122277790/2022,OQ290658.1
USA/WA-UW-23021668213/2023,OQ625656.1
USA/WA-CDC-UW21051422201/2021,MZ319536.1
USA/WA-CDC-LC0706969/2022,ON837609.1
USA/WA-CDC-LC0525814/2022,OM695050.1
USA/WA-CDC-UW22111457437/2022,OP872962.1
USA/WA-CDC-QDX33752054/2022,OM810521.1
USA/WA-CDC-LC0590899/2022,ON415028.1
USA/WA-S17442/2022,OM538660.1
USA/WA-PHL-011822/2022,PQ175220.1
USA/WA-UW-22110871474/2022,OP967512.1
USA/WA-UW-22092009492/2022,OP601856.1
USA/WA-S14710/2021,OL740522.1
USA/WA-PHL-021710/2022,OR414244.1
USA/WA-UW-21111689964/2021,OL965320.1
USA/WA-PHL-009681/2021,PQ173943.1
USA/WA-CDC-UW21082889185/2021,OK110747.1
USA/WA-CDC-UW22031494104/2022,ON090689.1
USA/WA-UW-21091327521/2021,OK375326.1
USA/WA-S20373/2022,ON794787.1
USA/WA-CDC-UW21081458835/2021,MZ952241.1
USA/WA-UW285/2020,MT259275.1
USA/WA-S4264/2021,MW591305.2
USA/WA-PHL-025442/2022,PP787006.1
USA/WA-S698/2020,MT641590.1
USA/WA-PHL-014910/2022,PQ400360.1
USA/WA-UW-67898/2021,MZ360905.1
USA/WA-PHL-003084/2021,PP628506.1
USA/WA-CDC-LC0695978/2022,ON801250.1
USA/WA-CDC-UW21050470659/2021,MZ257644.1
USA/WA-CDC-UW22032311672/2022,ON222577.1
USA/WA-UW-21072644095/2021,MZ970856.1
USA/WA-PHL-017617/2022,PQ370255.1
USA/WA-PHL-009883/2021,PQ174133.1
USA/WA-UW-22051014220/2022,ON627215.1
USA/WA-CDC-UW21101447094/2021,OK640698.1
USA/WA-CDC-LC0810678/2022,OP201624.1
USA/WA-CDC-LC0437465/2021,OM076221.1
USA/WA-PHL-001381/2021,PQ169723.1
USA/WA-PHL-017529/2022,PQ370191.1
USA/WA-CDC-UW22011065170/2022,OM442241.1
USA/WA-CDC-UW22092641718/2022,OP651234.1
USA/WA-S2265/2020,MT831272.1
USA/WA-CDC-UW21052493794/2021,MZ385947.1
USA/WA-CDC-QDX31047200/2021,OL681283.1
USA/WA-UW-22121648173/2022,OQ201791.1
USA/WA-S13040/2021,OL333652.1
USA/WA-CDC-UW22012550478/2022,OM570720.1
USA/WA-UW-22102671970/2022,OP824210.1
USA/WA-PHL-028343/2022,PQ387196.1
USA/WA-PHL-031696/2022,PQ403930.1
USA/WA-UW-21080288468/2021,OK178832.1
USA/WA-CDC-LC0852555/2022,OP351058.1
USA/WA-PHL-027755/2022,OQ780206.1
USA/WA-UW-22112160980/2022,OP967821.1
USA/WA-UW-22082241324/2022,OP457985.1
USA/WA-PHL-023477/2022,PQ370512.1
USA/WA-PHL-004314/2021,PP629111.1
USA/WA-UW-22072708601/2022,OP348861.1
USA/WA-CDC-LC1115277/2024,PQ237498.1
USA/WA-CDC-LC0210936/2021,OK114281.1
USA/WA-PHL-001041/2021,PP700865.1
USA/WA-CDC-UW21121730264/2021,OM065635.1
USA/WA-S16002/2021,OM296808.1
USA/WA-PHL-030710/2022,PP788004.1
USA/WA-CDC-UW21110939011/2021,OL639940.1
USA/WA-S12941/2021,OK647789.1
USA/WA-S15942/2021,OM296657.1
USA/WA-CDC-LC0323035/2021,OK608143.1
USA/WA-CDC-UW21120288073/2021,OL825457.1
USA/WA-PHL-030205/2022,PP787734.1
USA/WA-CDC-UW23040823821/2023,OQ870926.1
USA/WA-UW-22042019665/2022,ON631360.1
USA/WA-UW-22072841897/2022,OP348481.1
USA/WA-S9905/2021,MZ768342.1
USA/WA-S1011/2020,MT642347.1
USA/WA-UW-22112748248/2022,OP967721.1
USA/WA-CDC-UW22061944960/2022,ON956018.1
USA/WA-CDC-LC1033842/2023,OQ748542.1
USA/WA-PHL-007316/2021,PQ172825.1
USA/WA-CDC-UW21071578221/2021,MZ729311.1
USA/WA-PHL-009112/2021,PP631177.1
USA/WA-CDC-UW22100375282/2022,OP651339.1
USA/WA-S17504/2022,OM524445.1
USA/WA-CDC-UW21052767697/2021,MZ385808.1
USA/WA-UW-21042349292/2021,MZ171673.1
USA/WA-UW-22081115961/2022,OP363371.1
USA/WA-CDC-LC0779002/2022,OP064848.1
USA/WA-CDC-UW22011090721/2022,OM442268.1
USA/WA-S23625/2023,OR250862.1
USA/WA-S2858/2020,MW173402.1
USA/WA-S23836/2023,OR597106.1
USA/WA-CDC-UW21120462234/2021,OM004302.1
USA/WA-CDC-UW21100140207/2021,OK615923.1
USA/WA-PHL-020275/2022,OQ989852.1
USA/WA-CDC-LC0371911/2021,OL575180.1
USA/WA-CDC-LC0695908/2022,ON801424.1
USA/WA-CDC-UW22070324013/2022,OP036174.1
USA/WA-PHL-009888/2021,PQ174138.1
USA/WA-S16533/2022,OM364078.1
USA/WA-UW-23012515270/2023,OQ389932.1
USA/WA-CDC-LC0994399/2023,OQ353199.1
USA/WA-CDC-QDX29600818/2021,OK627318.1
USA/WA-PHL-018469/2022,OQ755231.1
USA/WA-CDC-UW21093006841/2021,OK615842.1
USA/WA-CDC-UW23032248379/2023,OQ833326.1
USA/WA-CDC-UW21082793865/2021,OK110770.1
USA/WA-CDC-UW22101762114/2022,OP776526.1
USA/WA-CDC-UW21052498126/2021,MZ385950.1
USA/WA-CDC-LC0358272/2021,OL489571.1
USA/WA-CDC-LC0551512/2022,OM940747.1
USA/WA-UW-22051167927/2022,ON678523.1
USA/WA-CDC-UW22010785450/2022,OM404260.1
USA/WA-CDC-UW23020319349/2023,OQ472646.1
USA/WA-CDC-UW22070731350/2022,OP036384.1
USA/WA-CDC-LC0687019/2022,ON768878.1
USA/WA-S15883/2021,OM296740.1
USA/WA-CDC-LC0557790/2022,OM978154.1
USA/WA-PHL-014008/2022,PQ176323.1
USA/WA-CDC-FG-096146/2021,OK068784.1
USA/WA-CDC-UW23041525006/2023,OQ871003.1
USA/WA-CDC-UW23012397487/2023,OQ403062.1
USA/WA-CDC-LC0520661/2022,OM696466.1
USA/WA-UW-22110968391/2022,OP967573.1
USA/WA-CDC-LC0696510/2022,ON801898.1
USA/WA-UW121/2020,MT252785.1
USA/WA-S13184/2021,OL333816.1
USA/WA-UW-22051579124/2022,ON627011.1
USA/WA-PHL-008282/2021,PP630726.1
USA/WA-CDC-UW22010207708/2022,OM269457.1
USA/WA-CDC-UW21042158118/2021,MZ153060.1
USA/WA-S11132/2021,OK137517.1
USA/WA-S24837/2024,PP485104.1
USA/WA-CDC-UW22060812367/2022,ON827279.1
USA/WA-CDC-UW21122866061/2021,OM288792.1
USA/WA-UW-22050602122/2022,ON627110.1
USA/WA-UW-22071442156/2022,OP209141.1
USA/WA-PHL-008402/2021,PP630839.1
USA/WA-CDC-UW22021232960/2022,OM900848.1
USA/WA-UW-23031756463/2023,OQ704044.1
USA/WA-CDC-UW22062821849/2022,ON989925.1
USA/WA-CDC-LC0039529/2021,MZ003620.1
USA/WA-CDC-LC0620509/2022,ON544303.1
USA/WA-CDC-UW22092638211/2022,OP646707.1
USA/WA-S13537/2021,OL373735.1
USA/WA-CDC-UW21121367905/2021,OM004409.1
USA/WA-CDC-FG-173515/2021,OL710801.1
USA/WA-CDC-QDX28808342/2021,OK373335.1
USA/WA-CDC-UW21082870364/2021,OK159067.1
USA/WA-S9292/2021,MZ513761.1
USA/WA-S17585/2022,OM571371.1
USA/WA-UW-21081767715/2021,OK258535.1
USA/WA-S15532/2021,OM003852.1
USA/WA-CDC-UW22081673821/2022,OP376422.1
USA/WA-PHL-025507/2022,PP787065.1
USA/WA-CDC-QDX30411219/2021,OL498598.1
USA/WA-PHL-019947/2022,OQ986447.1
USA/WA-CDC-UW21111595618/2021,OL825154.1
USA/WA-CDC-LC0779553/2022,OP064164.1
USA/WA-CDC-QDX37843209/2022,ON846020.1
USA/WA-UW-23022068646/2023,OQ567945.1
USA/WA-S16611/2022,OM445281.1
USA/WA-PHL-031991/2023,PQ372026.1
USA/WA-UW-21042763813/2021,MZ433947.1
USA/WA-CDC-QDX36715314/2022,ON574265.1
USA/WA-UW-22021736473/2022,ON140478.1
USA/WA-CDC-LC1043048/2023,OR105325.1
USA/WA-CDC-LC0568051/2022,ON151245.1
USA/WA-PHL-002799/2021,PQ170422.1
USA/WA-S20844/2022,ON810279.1
USA/WA-S21372/2022,OP252721.1
USA/WA-UW-21070311909/2021,MZ604623.1
USA/WA-UW-22060898931/2022,ON796453.1
USA/WA-CDC-UW23011796276/2023,OQ359575.1
USA/WA-UW-2021041283728/2021,MZ231890.1
USA/WA-CDC-UW22031109794/2022,ON090536.1
USA/WA-UW-22060961378/2022,ON845528.1
USA/WA-CDC-UW22102841996/2022,OP868588.1
USA/WA-PHL-006970/2021,PP630462.1
USA/WA-CDC-QDX30567223/2021,OL490251.1
USA/WA-PHL-017722/2022,OQ917872.1
USA/WA-CDC-LC0354752/2021,OL485810.1
USA/WA-PHL-007980/2021,PQ173193.1
USA/WA-PHL-013343/2022,PQ176047.1
USA/WA-CDC-UW21120479103/2021,OL825565.1
USA/WA-CDC-UW23013141883/2023,OQ439697.1
USA/WA-PHL-032669/2023,PQ372631.1
USA/WA-CDC-UW23050997376/2023,OQ997354.1
USA/WA-PHL-022548/2022,PP478402.1
USA/WA-CDC-QDX31047112/2021,OL681513.1
USA/WA-S103/2020,MT627253.1
USA/WA-S11477/2020,OK335453.1
USA/WA-UW-22051909131/2022,ON631651.1
USA/WA-CDC-UW22051285070/2022,ON689130.1
USA/WA-S24834/2024,PP485101.1
USA/WA-PHL-023123/2022,OQ771854.1
USA/WA-CDC-LC0602686/2022,ON467333.1
USA/WA-S19574/2022,ON374974.1
USA/WA-S3381/2020,MW494012.1
USA/WA-UW-22120252710/2022,OQ070129.1
USA/WA-S16540/2022,OM437128.1
USA/WA-PHL-008749/2021,PQ173657.1
USA/WA-S6880/2021,MZ127363.1
USA/WA-UW-22050607248/2022,ON553528.1
USA/WA-UW-22042192027/2022,ON550491.1
USA/WA-UW-21082476599/2021,OK258243.1
USA/WA-S20004/2022,ON521515.1
USA/WA-PHL-000419/2021,PP697195.1
USA/WA-S18296/2022,OM886445.1
USA/WA-PHL-003420/2021,PQ170746.1
USA/WA-S18688/2022,OM955445.1
USA/WA-UW-23031970272/2023,OQ704179.1
USA/WA-UW-21041653646/2021,MZ232965.1
USA/WA-CDC-LC0659201/2022,ON658020.1
USA/WA-PHL-018793/2022,OQ785412.1
USA/WA-UW-22062151960/2022,ON974013.1
USA/WA-CDC-LC1108926/2024,PQ060565.1
USA/WA-CDC-LC0514851/2022,OM625745.1
USA/WA-S14001/2021,OL584636.1
USA/WA-CDC-LC0590875/2022,ON414796.1
USA/WA-CDC-UW22120604132/2022,OQ080208.1
USA/WA-UW-21071259092/2021,MZ664461.1
USA/WA-CDC-QDX25930950/2021,OK250390.1
USA/WA-CDC-LC0311291/2021,OK522683.1
USA/WA-S14815/2021,OL740627.1
USA/WA-CDC-UW21082741912/2021,OK158859.1
USA/WA-CDC-LC0704520/2022,ON823480.1
USA/WA-UW-22112759867/2022,OP999145.1
USA/WA-UW-22091912462/2022,OP678398.1
USA/WA-PHL-001209/2021,PP627641.1
USA/WA-CDC-UW22122623902/2022,OQ204596.1
USA/WA-UW-22040284923/2022,ON380958.1
USA/WA-CDC-UW22090418135/2022,OP493415.1
USA/WA-UW-22041576211/2022,ON478554.1
USA/WA-S10765/2021,OK083394.1
USA/WA-CDC-UW21122846219/2021,OM232721.1
USA/WA-S7932/2021,MZ388223.1
USA/WA-CDC-UW22061435012/2022,ON894204.1
USA/WA-UW-21073012769/2021,OK216278.1
USA/WA-PHL-010279/2022,PQ174411.1
USA/WA-CDC-LC0537593/2022,OM789683.1
USA/WA-S13103/2021,OL333715.1
USA/WA-UW-22032589112/2022,ON249331.1
USA/WA-S2370/2020,MT831871.1
USA/WA-PHL-015632/2022,OQ873950.1
USA/WA-CDC-UW21122959009/2021,OM269331.1
USA/WA-UW-22041496992/2022,ON478601.1
USA/WA-UW-22042495171/2022,ON631423.1
USA/WA-S3539/2021,MW548914.1
USA/WA-CDC-LC0778585/2022,OP063506.1
USA/WA-S8387/2021,MZ453656.1
USA/WA-CDC-LC0573556/2022,ON296925.1
USA/WA-PHL-022498/2022,PP478370.1
USA/WA-UW-22082276307/2022,OP443828.1
USA/WA-CDC-QDX36514296/2022,ON530850.1
USA/WA-S7875/2021,MZ388170.1
USA/WA-CDC-FG-034317/2021,MZ287785.1
USA/WA-UW-22033047046/2022,ON249130.1
USA/WA-CDC-UW22111078056/2022,OP872915.1
USA/WA-PHL-007959/2021,PQ173172.1
USA/WA-CDC-UW21092583663/2021,OK448052.1
USA/WA-S4560/2021,MW648068.2
USA/WA-CDC-LC0231865/2021,OK134104.1
USA/WA-CDC-UW21122766413/2021,OM232615.1
USA/WA-PHL-025548/2022,PP787105.1
USA/WA-PHL-023793/2022,PQ370599.1
USA/WA-CDC-UW22031485390/2022,ON090710.1
USA/WA-S12159/2021,OK464655.1
USA/WA-CDC-UW21081958912/2021,OK095942.1
USA/WA-S15984/2021,OM296790.1
USA/WA-PHL-032403/2023,PQ372387.1
USA/WA-CDC-LC0000782/2020,MW635616.1
USA/WA-CDC-LC0355027/2021,OL486227.1
USA/WA-CDC-FG-150152/2021,OK614207.1
USA/WA-S4107/2021,MW555977.1
USA/WA-S16731/2022,OM445397.1
USA/WA-UW-21102020973/2021,OL467527.1
USA/WA-CDC-UW22090672784/2022,OP493442.1
USA/WA-CDC-UW22060786300/2022,ON849251.1
USA/WA-S23679/2023,OR250906.1
USA/WA-UW-22071785958/2022,OP209395.1
USA/WA-S2091/2020,MT831350.1
USA/WA-PHL-008858/2021,PP630940.1
USA/WA-CDC-QDX29409872/2021,OK574041.1
USA/WA-UW-22092009191/2022,OP601848.1
USA/WA-CDC-UW22011260284/2022,OM527285.1
USA/WA-CDC-UW21061092056/2021,MZ449656.1
USA/WA-UW-21072268064/2021,OK555484.1
USA/WA-UW-21102157473/2021,OL467381.1
USA/WA-CDC-UW22022101668/2022,OM956720.1
USA/WA-CDC-UW21121038060/2021,OL914233.1
USA/WA-CDC-QDX85770751/2023,OR662538.1
USA/WA-PHL-029294/2020,PQ413855.1
USA/WA-S12341/2021,OK546392.1
USA/WA-UW-21073136555/2021,OK144500.1
USA/WA-CDC-LC0251106/2021,OK202284.1
USA/WA-CDC-LC0056267/2021,OK232156.1
USA/WA-PHL-016728/2022,PQ400740.1
USA/WA-CDC-UW21120958727/2021,OM004346.1
USA/WA-PHL-007282/2021,PQ172793.1
USA/WA-S21088/2022,ON981549.1
USA/WA-CDC-UW22010412279/2022,OM348059.1
USA/WA-CDC-UW22092673045/2022,OP646705.1
USA/WA-S5411/2021,MW773997.1
USA/WA-S10027/2021,MZ768457.1
USA/WA-CDC-LC0101214/2021,MZ783729.1
USA/WA-CDC-LC0723822/2022,ON896615.1
USA/WA-UW-21042207302/2021,MZ171959.1
USA/WA-UW-21120167613/2021,OM124128.1
USA/WA-CDC-UW21080896475/2021,MZ895932.1
USA/WA-PHL-017403/2022,OQ921192.1
USA/WA-CDC-UW21102265066/2021,OL360688.1
USA/WA-CDC-LC0723781/2022,ON896704.1
USA/WA-UW-2021040105384/2021,MZ236536.1
USA/WA-S21177/2022,ON981623.1
USA/WA-S7017/2021,MZ158381.1
USA/WA-UW-22081216848/2022,OP457856.1
USA/WA-CDC-UW21042906517/2021,MZ152970.1
USA/WA-CDC-LC0356796/2021,OL487455.1
USA/WA-CDC-LC0554936/2022,OM958705.1
USA/WA-UW-2021041569758/2021,MZ233365.1
USA/WA-CDC-LC0205158/2021,OK101916.1
USA/WA-S19694/2022,ON375079.1
USA/WA-UW-2021041002621/2021,MZ240070.1
USA/WA-S7526/2021,MZ367785.1
USA/WA-CDC-UW21102088776/2021,OL360649.1
USA/WA-PHL-011707/2022,PQ175112.1
USA/WA-PHL-008501/2021,PQ173424.1
USA/WA-CDC-FG-096114/2021,OK068851.1
USA/WA-PHL-019397/2022,OQ785606.1
USA/WA-CDC-LC0452584/2021,OM226808.1
USA/WA-PHL-015499/2022,OQ873832.1
USA/WA-S10923/2021,OK137309.1
USA/WA-CDC-LC0779564/2022,OP065196.1
USA/WA-PHL-014175/2022,PQ176480.1
USA/WA-PHL-031364/2022,PP788405.1
USA/WA-UW-2021041310326/2021,MZ233236.1
USA/WA-UW-21100575321/2021,OK576356.1
USA/WA-S295/2020,MT632627.1
USA/WA-CDC-UW22051932861/2022,ON691739.1
USA/WA-UW-21100539136/2021,OK635926.1
USA/WA-CDC-UW22090233901/2022,OP493343.1
USA/WA-CDC-UW21071660929/2021,MZ729277.1
USA/WA-CDC-QDX30765100/2021,OL623592.1
USA/WA-PHL-028567/2020,PQ413327.1
USA/WA-CDC-LC0601496/2022,ON465098.1
USA/WA-CDC-QDX41638440/2022,OP577106.1
USA/WA-UW-22032559911/2022,ON249185.1
USA/WA-PHL-004696/2021,PP629216.1
USA/WA-PHL-003404/2021,PQ170731.1
USA/WA-S1017/2020,MT642218.1
USA/WA-CDC-UW21112257416/2021,OL720258.1
USA/WA-S4076/2021,MW555951.2
USA/WA-UW-69348/2021,MZ232493.1
USA/WA-CDC-LC0658512/2022,ON657794.1
USA/WA-UW-22041300771/2022,ON627230.1
USA/WA-CDC-LC0365803/2021,OL557317.1
USA/WA-CDC-UW22121723300/2022,OQ338867.1
USA/WA-PHL-021735/2022,OR414260.1
USA/WA-S11535/2021,OK335292.1
USA/WA-CDC-LC1028307/2023,OQ681538.1
USA/WA-PHL-030674/2022,PP787968.1
USA/WA-PHL-022634/2022,PP478464.1
USA/WA-CDC-LC0786317/2022,OP109418.1
USA/WA-CDC-LC0000773/2020,MW984772.1
USA/WA-CDC-UW21060325658/2021,MZ415245.1
USA/WA-CDC-LC0884247/2022,OP520159.1
USA/WA-UW-22082352186/2022,OP443734.1
USA/WA-CDC-LC0337774/2021,OL327453.1
USA/WA-CDC-LC1010820/2023,OQ510348.1
USA/WA-PHL-011535/2022,PP631735.1
USA/WA-S17996/2022,OM676230.1
USA/WA-CDC-LC0328198/2021,OK608080.1
USA/WA-S24892/2024,PP485158.1
USA/WA-PHL-030366/2022,PP787855.1
USA/WA-CDC-UW22013053550/2022,OM666816.1
USA/WA-UW-21123195742/2021,OM510090.1
USA/WA-CDC-UW22110296858/2022,OP848455.1
USA/WA-CDC-LC1061020/2023,OR608067.1
USA/WA-PHL-009114/2021,PP631179.1
USA/WA-CDC-UW21051618864/2021,MZ319506.1
USA/WA-CDC-UW22010289870/2022,OM288968.1
USA/WA-PHL-022437/2022,OQ771648.1
USA/WA-CDC-UW21112319721/2021,OL720279.1
USA/WA-CDC-UW21122437341/2021,OM188646.1
USA/WA-CDC-UW23022766511/2023,OQ589449.1
USA/WA-CDC-UW23022894359/2023,OQ625959.1
USA/WA-CDC-VSX-A240689/2023,OR647414.1
USA/WA-PHL-005136/2021,PQ171833.1
USA/WA-PHL-007170/2021,PQ172683.1
USA/WA-CDC-LC0639622/2022,ON607397.1
USA/WA-CDC-FG-261447/2022,OM650832.1
USA/WA-CDC-LC0582179/2022,ON373007.1
USA/WA-CDC-LC0322988/2021,OK608459.1
USA/WA-CDC-LC0567891/2022,ON150934.1
USA/WA-CDC-UW23050461592/2023,OQ997305.1
USA/WA-CDC-UW21111183481/2021,OM699000.1
USA/WA-CDC-UW22030179986/2022,ON026283.1
USA/WA-S20346/2022,ON660856.1
USA/WA-UW-22091989424/2022,OP678659.1
USA/WA-CDC-UW21081461424/2021,MZ952301.1
USA/WA-PHL-004838/2021,PP629348.1
USA/WA-CDC-FG-082073/2021,MZ928899.1
USA/WA-CDC-UW21112628520/2021,OL825256.1
USA/WA-UW-21042022476/2021,MZ172377.1
USA/WA-CDC-LC0778293/2022,OP062442.1
USA/WA-UW-22072830670/2022,OP348832.1
USA/WA-CDC-QDX37144469/2022,ON678633.1
USA/WA-CDC-UW21082935134/2021,OK158998.1
USA/WA-S7603/2021,MZ367829.1
USA/WA-CDC-QDX85698746/2023,OR662245.1
USA/WA-CDC-UW22022197422/2022,OM956670.1
USA/WA-CDC-UW22022117242/2022,OM956677.1
USA/WA-CDC-UW23022262427/2023,OQ589298.1
USA/WA-CDC-UW21060239865/2021,MZ415284.1
USA/WA-UW-22040737158/2022,ON412210.1
USA/WA-CDC-UW22111725695/2022,OP984252.1
USA/WA-PHL-032528/2023,PQ372501.1
USA/WA-S13108/2021,OL333719.1
USA/WA-CDC-UW22022591726/2022,ON018406.1
USA/WA-CDC-UW23030554897/2023,OQ619350.1
USA/WA-CDC-UW23011191454/2023,OQ306844.1
USA/WA-CDC-UW21120315485/2021,OL825490.1
USA/WA-CDC-UW23032501196/2023,OQ833433.1
USA/WA-CDC-UW21110809286/2021,OM698903.1
USA/WA-CDC-LC1029143/2023,OQ699407.1
USA/WA-PHL-008178/2021,PP630624.1
USA/WA-PHL-029954/2021,PQ414141.1
USA/WA-CDC-UW21121198857/2021,OL914482.1
USA/WA-CDC-UW22030628601/2022,ON056165.1
USA/WA-UW-23030263765/2023,OQ673736.1
USA/WA-UW-22040746183/2022,ON412489.1
USA/WA-PHL-008843/2021,PP630926.1
USA/WA-S2909/2020,MW173454.1
USA/WA-PHL-024661/2022,OP597004.1
USA/WA-UW-67175/2021,MZ360706.1
USA/WA-UW-21050409780/2021,MZ328749.1
USA/WA-CDC-UW22111775202/2022,OP984246.1
USA/WA-CDC-FG-034311/2021,MZ287781.1
USA/WA-CDC-LC1032956/2023,OQ734047.1
USA/WA-S20117/2022,ON660667.1
USA/WA-CDC-LC0804090/2022,OP166323.1
USA/WA-PHL-003527/2021,PQ170844.1
USA/WA-S6095/2021,MZ033275.1
USA/WA-UW-21042019524/2021,MZ172383.1
USA/WA-UW-2021033005572/2021,MZ238276.1
USA/WA-CDC-UW21051306233/2021,MZ319583.1
USA/WA-CDC-UW21122058935/2021,OM132068.1
USA/WA-CDC-UW22022542921/2022,ON018375.1
USA/WA-CDC-LC0367473/2021,OL559217.1
USA/WA-CDC-UW22012366239/2022,OM570673.1
USA/WA-PHL-000265/2021,PP697051.1
USA/WA-PHL-017393/2022,OQ921184.1
USA/WA-CDC-LC0756725/2022,OP000358.1
USA/WA-PHL-003729/2021,PP628752.1
USA/WA-UW-22101872325/2022,OP823918.1
USA/WA-CDC-UW21050650446/2021,MZ269827.1
USA/WA-S11595/2021,OK335351.1
USA/WA-PHL-009901/2021,PQ174151.1
USA/WA-CDC-LC0456388/2021,OM271716.1
USA/WA-S15055/2021,OL740657.1
USA/WA-PHL-002720/2021,PQ170343.1
USA/WA-PHL-013953/2022,PQ176270.1
USA/WA-UW268/2020,MT259260.1
USA/WA-PHL-007007/2021,PP630497.1
USA/WA-S1274/2020,MT821646.1
USA/WA-PHL-008349/2021,PP630788.1
USA/WA-S7402/2021,MZ222659.1
USA/WA-PHL-017642/2022,PQ370275.1
USA/WA-CDC-UW21111996549/2021,OL679254.1
USA/WA-UW-21121061575/2021,OM106030.1
USA/WA-S191/2020,MT632493.1
USA/WA-PHL-017777/2022,OQ917917.1
USA/WA-PHL-016839/2022,OQ916520.1
USA/WA-UW-68467/2021,MZ232023.1
USA/WA-CDC-LC0786365/2022,OP110078.1
USA/WA-CDC-LC0268588/2021,OK308041.1
USA/WA-UW-21050556053/2021,MZ328814.1
USA/WA-UW-22060657746/2022,ON891264.1
USA/WA-CDC-LC0764295/2022,OP016420.1
USA/WA-CDC-LC0484430/2022,OM409895.1
USA/WA-PHL-027933/2022,OQ785062.1
USA/WA-PHL-008673/2021,PQ173582.1
USA/WA-S4938/2021,MW687282.2
USA/WA-CDC-UW21073088557/2021,MZ967710.1
USA/WA-UW-22041904713/2022,ON427982.1
USA/WA-PHL-005913/2021,PP629811.1
USA/WA-UW-21072645247/2021,MZ970905.1
USA/WA-PHL-005288/2021,PP629561.1
USA/WA-CDC-UW21121955884/2021,OM131997.1
USA/WA-CDC-ASC210279415/2021,OK462587.1
USA/WA-PHL-031366/2022,PP788407.1
USA/WA-CDC-UW22040200615/2022,ON305079.1
USA/WA-CDC-UW23030196972/2023,OQ625969.1
USA/WA-CDC-UW22021014547/2022,OM841850.1
USA/WA-CDC-UW22040378249/2022,ON305115.1
USA/WA-CDC-FG-072123/2021,MZ883762.1
USA/WA-S15031/2021,OL740864.1
USA/WA-CDC-UW23032053034/2023,OQ833250.1
USA/WA-PHL-032619/2023,PQ372586.1
USA/WA-UW-21072326021/2021,OK542343.1
USA/WA-PHL-004486/2021,PQ171568.1
USA/WA-PHL-028637/2020,PQ413385.1
USA/WA-CDC-LC0393174/2021,OL734798.1
USA/WA-PHL-007527/2021,PQ172995.1
USA/WA-S11546/2021,OK335303.1
USA/WA-PHL-000364/2021,PP697146.1
USA/WA-CDC-UW22011226180/2022,OM527290.1
USA/WA-CDC-UW23021429083/2023,OQ589142.1
USA/WA-S20788/2022,ON810224.1
USA/WA-PHL-001472/2021,PQ169811.1
USA/WA-UW-22041123250/2022,ON549929.1
USA/WA-PHL-033071/2023,PQ372765.1
USA/WA-PHL-027302/2022,OQ782105.1
USA/WA-S13915/2021,OL516297.1
USA/WA-CDC-UW22022129980/2022,OM956661.1
USA/WA-PHL-032465/2023,PQ372441.1
USA/WA-CDC-UW22100266574/2022,OP778498.1
USA/WA-CDC-UW22051297441/2022,ON689082.1
USA/WA-PHL-017485/2022,PQ370162.1
USA/WA-S4587/2021,MW648091.2
USA/WA-CDC-UW23040264981/2023,OQ799280.1
USA/WA-UW-21072126455/2021,MZ930488.1
USA/WA-UW386/2020,MT263465.1
USA/WA-CDC-LC0660173/2022,ON659809.1
USA/WA-CDC-LC0427747/2021,OM007668.1
USA/WA-CDC-LC0528783/2022,OM725051.1
USA/WA-UW-22080207559/2022,OP348779.1
USA/WA-CDC-4482127-001/2021,OM687851.1
USA/WA-S15996/2021,OM296802.1
USA/WA-PHL-024983/2022,PP786829.1
USA/WA-S17570/2022,OM571356.1
USA/WA-CDC-UW22051663931/2022,ON688791.1
USA/WA-CDC-UW23010684423/2023,OQ271682.1
USA/WA-CDC-LC0686272/2022,ON769735.1
USA/WA-CDC-UW22010731895/2022,OM348227.1
USA/WA-CDC-UW22050506411/2022,ON689269.1
USA/WA-PHL-034481/2022,PQ414840.1
USA/WA-UW-21051063423/2021,MZ328945.1
USA/WA-S13342/2021,OL373546.1
USA/WA-PHL-005064/2021,PQ171764.1
USA/WA-UW-21082018422/2021,OK261790.1
USA/WA-UW-22032923934/2022,ON310855.1
USA/WA-CDC-UW21070257204/2021,OK189377.1
USA/WA-CDC-LC1014419/2023,OQ582600.1
USA/WA-PHL-010347/2022,PQ174478.1
USA/WA-CDC-LC0640445/2022,ON608541.1
USA/WA-S3952/2021,MW555907.2
USA/WA-S10798/2021,OK083426.1
USA/WA-CDC-LC0002462/2021,OK425641.1
USA/WA-UW-23020588355/2023,OQ503681.1
USA/WA-CDC-UW22071869542/2022,OP164915.1
USA/WA-PHL-029599/2022,PQ387426.1
USA/WA-PHL-015618/2022,OQ873939.1
USA/WA-PHL-006584/2021,PP630168.1
USA/WA-CDC-UW22032266872/2022,ON140923.1
USA/WA-CDC-UW21072132412/2021,OK111621.1
USA/WA-CDC-UW21100233832/2021,OK534470.1
USA/WA-PHL-017624/2022,PQ370261.1
USA/WA-UW-21052928942/2021,MZ433670.1
USA/WA-CDC-UW21082708750/2021,OK110867.1
USA/WA-CDC-UW23010967931/2023,OQ306665.1
USA/WA-S12890/2021,OK647356.1
USA/WA-UW-23031882536/2023,OQ704089.1
USA/WA-PHL-008219/2021,PP630663.1
USA/WA-PHL-003175/2021,PP628589.1
